what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522901476963
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522901482310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1522901631698
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1522901639753
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522901657787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522901670946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522901674259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522901676035
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1522901682775
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522901683415
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1522901684362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522901689569
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522901689884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522901690204
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522901690214
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522901698933
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522901701244
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522901724029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522901730322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522901731404
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1522901739995
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522901740035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522901741525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522901746608
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522901746883
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522901747203
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522901747213
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522901755921
